Iter,tx_node_id,rx_node_id,LossRate,next_hop
0,0,1,0.0,1
0,0,2,0.0,2
0,0,3,0.0,3
0,0,4,59.11,2
0,0,5,93.09,3
0,0,6,0.0,6
0,0,7,0.0,7
0,0,8,100.0,3
0,0,9,100.0,6
0,0,10,100.0,1
0,0,11,100.0,6
0,0,12,100.0,3
0,0,13,100.0,6
0,0,14,100.0,7
0,0,15,100.0,7
0,0,16,100.0,7
0,0,17,100.0,3
0,0,18,100.0,7
0,0,19,100.0,7
0,0,20,100.0,6
0,0,21,100.0,3
0,0,22,100.0,3
0,0,23,100.0,6
0,0,24,100.0,7
0,0,25,100.0,7
0,0,26,100.0,6
0,0,27,100.0,6
0,0,28,100.0,7
0,0,29,100.0,6
0,1,2,0.0,2
0,1,3,39.42,7
0,1,4,40.65,4
0,1,5,0.0,5
0,1,6,90.03,0
0,1,7,0.0,7
0,1,8,99.86,5
0,1,9,100.0,7
0,1,10,0.0,10
0,1,11,100.0,5
0,1,12,100.0,10
0,1,13,100.0,10
0,1,14,100.0,7
0,1,15,100.0,7
0,1,16,100.0,10
0,1,17,100.0,5
0,1,18,100.0,10
0,1,19,100.0,7
0,1,20,100.0,7
0,1,21,100.0,10
0,1,22,100.0,5
0,1,23,100.0,10
0,1,24,100.0,7
0,1,25,100.0,7
0,1,26,100.0,7
0,1,27,100.0,7
0,1,28,100.0,5
0,1,29,100.0,5
0,2,3,0.0,3
0,2,4,0.0,4
0,2,5,64.33,10
0,2,6,75.26,0
0,2,7,92.57,0
0,2,8,98.15,3
0,2,9,99.69,10
0,2,10,0.0,10
0,2,11,100.0,4
0,2,12,100.0,3
0,2,13,100.0,10
0,2,14,100.0,3
0,2,15,100.0,10
0,2,16,100.0,10
0,2,17,100.0,3
0,2,18,100.0,10
0,2,19,100.0,10
0,2,20,100.0,10
0,2,21,100.0,3
0,2,22,100.0,3
0,2,23,100.0,3
0,2,24,100.0,10
0,2,25,100.0,3
0,2,26,100.0,3
0,2,27,100.0,10
0,2,28,100.0,4
0,2,29,100.0,4
0,3,4,0.0,4
0,3,5,0.0,5
0,3,6,0.0,6
0,3,7,0.0,7
0,3,8,0.0,8
0,3,9,91.38,8
0,3,10,0.0,10
0,3,11,100.0,4
0,3,12,0.0,12
0,3,13,100.0,8
0,3,14,100.0,12
0,3,15,100.0,7
0,3,16,100.0,12
0,3,17,100.0,8
0,3,18,100.0,12
0,3,19,100.0,10
0,3,20,100.0,12
0,3,21,100.0,12
0,3,22,100.0,12
0,3,23,100.0,12
0,3,24,100.0,12
0,3,25,100.0,12
0,3,26,100.0,12
0,3,27,100.0,7
0,3,28,100.0,12
0,3,29,100.0,5
0,4,5,0.0,5
0,4,6,0.0,6
0,4,7,0.0,7
0,4,8,79.98,5
0,4,9,0.0,9
0,4,10,99.18,3
0,4,11,0.0,11
0,4,12,100.0,3
0,4,13,100.0,6
0,4,14,100.0,11
0,4,15,100.0,7
0,4,16,100.0,9
0,4,17,100.0,9
0,4,18,100.0,9
0,4,19,100.0,11
0,4,20,100.0,6
0,4,21,100.0,11
0,4,22,100.0,11
0,4,23,100.0,6
0,4,24,100.0,11
0,4,25,100.0,11
0,4,26,100.0,11
0,4,27,100.0,6
0,4,28,100.0,11
0,4,29,100.0,11
0,5,6,0.0,6
0,5,7,0.0,7
0,5,8,0.0,8
